title,date,year,authors,authors,authors,file,type,categories,Tags
H.R. 11 -- R.I.P.,"September 18, 1992",1992,Stephen J. Entin,Michael A. Schuyler,,ADVS-10,Congressional Advisory,"Individual Capital Gains and Dividends Taxes,Individual Capital Gains and Dividends","Business Tax Expenditures, Credits, and Deductions,Pro-Growth"
Let's Have A Sunset Trigger For Health Insurance Legislation,"August 10, 1994",1994,Michael A. Schuyler,Tax Triggers,,ADVS-36,Congressional Advisory,"Individual Income and Payroll Taxes,Individual Tax Expenditures, Credits, and Deductions,Credits","Health Care,Health Insurance,Health Care Tax Deduction"
Private Saving Vs. Social Security: Many Happier Returns,"September 4, 1996",1996,Stephen J. Entin,,,ADVS-56,Congressional Advisory,"Individual and Payroll Taxes,Social Security,Retirement Savings",
Growth Elements in the Ashcroft Fair Tax Proposal,"September 15, 1998",1998,Stephen J. Entin,,,Ashcroft Fair Tax Proposal - growth - summary -score,IRET Bulletin,"Individual and Consumption Taxes,Corporate Income Taxes","Business Tax Expenditures, Credits, and Deductions,Flat Tax,Individual Income and Payroll Taxes"
The Next Tax Bill?,"October 1, 1982",1982,David G. Raboy,,,Bulletin-01,IRET Bulletin,,"Monetary Policy,Federal Budget"
Who Caused the Panic of 1837-- And the Recession of 1981?,"October 15, 1982",1982,David G. Raboy,,,Bulletin-02,IRET Bulletin,,"Monetary Policy,Pro-Growth"
Is the Fed Loosening? Should the Fed Loosen?,"November 18, 1982",1982,David G. Raboy,,,Bulletin-03,IRET Bulletin,,Monetary Policy
Killing the Golden Goose: The Windfall Profits Tax and Small Royalty Owners,"November 23, 1982",1982,Milton Copulos,,,Bulletin-04,IRET Bulletin,"Oil and Gas Taxes,Oil, Gas, and Transportation Taxes","Environment and Energy Taxes,Windfall Profits Tax"
The Fed's New Inflationary Policy,"January 11, 1983",1983,David G. Raboy,,,Bulletin-05,IRET Bulletin,,"Inflation,Consumer Behavior,Federal Reserve"
The Contingency Tax Plan -- Wreaking Havoc With Business Planning,"January 18, 1983",1983,David G. Raboy,,,Bulletin-06,IRET Bulletin,Taxes and Economic Growth,"crowd out,Monetary Policy"
"The Rostenkowski Tax Reduction ""Freeze"" Proposal","February 11, 1983",1983,David G. Raboy,,,Bulletin-07,IRET Bulletin,"Estate and Gift Taxes,Excise Taxes",Savings
I. The Bottom Line on the Budget Process,"April 18, 1983",1983,Michael Schuyler,,,Bulletin-08,IRET Bulletin,Taxes and Economic Growth,"Opec,Federal Spending,Social Security"
"The $700 Cap Proposal: Inefficient, Inequitable and Only $297 For A Single Taxpayer in 1983.","June 27, 1983",1983,Michael Schuyler,Bragi Valgeirsson,,Bulletin-09,IRET Bulletin,"Individual Tax Expenditures, Credits, and Deductions,High-Income Taxpayers, Progressivity, and Inequality","IRS,Individual Deduction"
